"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"ICU Beds",272,251,"21",92.3,7.7,2020-07-10 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-10 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-10 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-10 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-10 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-10 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-10 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-10 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-11 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-11 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-11 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-11 06:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-11 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-11 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-11 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-11 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-11 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-11 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-11 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-11 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-12 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-12 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-12 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-12 06:12:01
"ICU Beds",272,251,"21",92.3,7.7,2020-07-12 06:12:01
"Ventilators",242,98,"144",40.5,59.5,2020-07-12 06:12:01
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-12 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-12 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-12 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-12 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-12 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-12 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-13 00:12:01
"ICU Beds",272,251,"21",92.3,7.7,2020-07-13 00:12:01
"Ventilators",242,98,"144",40.5,59.5,2020-07-13 00:12:01
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-13 06:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-13 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-13 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-13 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-13 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-13 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-13 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-13 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-13 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-14 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-14 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-14 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-14 06:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-14 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-14 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-14 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-14 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-14 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-14 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-14 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-14 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-15 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-15 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-15 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-15 06:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-15 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-15 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-15 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-15 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-15 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-15 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-15 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-15 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-16 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-16 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-16 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-16 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-16 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-16 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-16 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-16 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-16 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-16 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-16 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-16 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-17 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-17 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-17 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-17 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-17 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-17 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-17 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-17 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-17 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-17 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-17 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-17 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-18 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-18 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-18 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-18 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-18 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-18 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-18 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-18 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-18 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-18 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-18 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-18 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-19 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-19 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-19 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-19 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-19 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-19 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-19 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-19 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-19 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-19 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-19 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-19 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-20 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-20 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-20 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-20 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-20 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-20 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-20 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-20 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-20 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-20 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-20 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-20 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-21 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-21 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-21 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-21 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-21 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-21 06:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-21 12:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-21 12:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-21 12:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-21 18:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-21 18:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-21 18:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-22 00:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-22 00:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-22 00:12:00
"All Hospital Beds",3186,2496,"690",78.3,21.7,2020-07-22 06:12:00
"ICU Beds",272,248,"24",91.2,8.8,2020-07-22 06:12:00
"Ventilators",242,108,"134",44.6,55.4,2020-07-22 06:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-22 12:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-22 12:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-22 12:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-22 18:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-22 18:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-22 18:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-23 00:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-23 00:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-23 00:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-23 06:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-23 06:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-23 06:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-23 12:12:01
"ICU Beds",272,229,"43",84.2,15.8,2020-07-23 12:12:01
"Ventilators",246,107,"139",43.5,56.5,2020-07-23 12:12:01
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-24 12:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-24 12:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-24 12:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-24 18:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-24 18:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-24 18:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-25 00:12:01
"ICU Beds",272,229,"43",84.2,15.8,2020-07-25 00:12:01
"Ventilators",246,107,"139",43.5,56.5,2020-07-25 00:12:01
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-25 06:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-25 06:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-25 06:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-25 12:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-25 12:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-25 12:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-25 18:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-25 18:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-25 18:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-26 00:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-26 00:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-26 00:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-26 06:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-26 06:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-26 06:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-26 12:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-26 12:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-26 12:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-26 18:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-26 18:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-26 18:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-27 07:57:34
"ICU Beds",272,229,"43",84.2,15.8,2020-07-27 07:57:34
"Ventilators",246,107,"139",43.5,56.5,2020-07-27 07:57:34
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-27 12:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-27 12:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-27 12:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-27 18:12:01
"ICU Beds",272,229,"43",84.2,15.8,2020-07-27 18:12:01
"Ventilators",246,107,"139",43.5,56.5,2020-07-27 18:12:01
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-28 00:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-28 00:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-28 00:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-28 06:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-28 06:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-28 06:12:00
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-28 12:13:06
"ICU Beds",272,229,"43",84.2,15.8,2020-07-28 12:13:06
"Ventilators",246,107,"139",43.5,56.5,2020-07-28 12:13:06
"All Hospital Beds",3219,2466,"753",76.6,23.4,2020-07-28 18:12:00
"ICU Beds",272,229,"43",84.2,15.8,2020-07-28 18:12:00
"Ventilators",246,107,"139",43.5,56.5,2020-07-28 18:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-29 12:12:00
"ICU Beds",272,215,"57",79,21,2020-07-29 12:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-29 12:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-29 18:12:00
"ICU Beds",272,215,"57",79,21,2020-07-29 18:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-29 18:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-30 08:39:27
"ICU Beds",272,215,"57",79,21,2020-07-30 08:39:27
"Ventilators",250,93,"157",37.2,62.8,2020-07-30 08:39:27
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-30 12:12:00
"ICU Beds",272,215,"57",79,21,2020-07-30 12:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-30 12:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-30 18:12:00
"ICU Beds",272,215,"57",79,21,2020-07-30 18:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-30 18:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-31 00:12:00
"ICU Beds",272,215,"57",79,21,2020-07-31 00:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-31 00:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-31 12:12:00
"ICU Beds",272,215,"57",79,21,2020-07-31 12:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-31 12:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-07-31 18:12:00
"ICU Beds",272,215,"57",79,21,2020-07-31 18:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-07-31 18:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-01 00:12:00
"ICU Beds",272,215,"57",79,21,2020-08-01 00:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-01 00:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-01 06:12:00
"ICU Beds",272,215,"57",79,21,2020-08-01 06:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-01 06:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-01 12:12:00
"ICU Beds",272,215,"57",79,21,2020-08-01 12:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-01 12:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-01 18:12:00
"ICU Beds",272,215,"57",79,21,2020-08-01 18:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-01 18:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-02 00:12:00
"ICU Beds",272,215,"57",79,21,2020-08-02 00:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-02 00:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-02 06:12:00
"ICU Beds",272,215,"57",79,21,2020-08-02 06:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-02 06:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-02 12:12:00
"ICU Beds",272,215,"57",79,21,2020-08-02 12:12:00
"Ventilators",250,93,"157",37.2,62.8,2020-08-02 12:12:00
"All Hospital Beds",3106,2126,"980",68.4,31.6,2020-08-02 18:12:00
"ICU Beds",272,215,"57",79,21,2020-08-02 18:12:00
