"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"ICU Beds",272,251,21,92.3,7.7,2020-07-10 12:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-10 12:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-10 18:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-10 18:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-10 18:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-11 00:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-11 00:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-11 00:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-11 06:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-11 06:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-11 06:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-11 12:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-11 12:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-11 12:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-11 18:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-11 18:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-11 18:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-12 00:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-12 00:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-12 00:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-12 06:12:01
"ICU Beds",272,251,21,92.3,7.7,2020-07-12 06:12:01
"Ventilators",242,98,144,40.5,59.5,2020-07-12 06:12:01
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-12 12:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-12 12:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-12 12:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-12 18:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-12 18:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-12 18:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-13 00:12:01
"ICU Beds",272,251,21,92.3,7.7,2020-07-13 00:12:01
"Ventilators",242,98,144,40.5,59.5,2020-07-13 00:12:01
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-13 06:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-13 06:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-13 06:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-13 12:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-13 12:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-13 12:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-13 18:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-13 18:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-13 18:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-14 00:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-14 00:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-14 00:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-14 06:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-14 06:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-14 06:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-14 12:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-14 12:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-14 12:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-14 18:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-14 18:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-14 18:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-15 00:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-15 00:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-15 00:12:00
"All Hospital Beds",3186,2534,652,79.5,20.5,2020-07-15 06:12:00
"ICU Beds",272,251,21,92.3,7.7,2020-07-15 06:12:00
"Ventilators",242,98,144,40.5,59.5,2020-07-15 06:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-12 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-12 13:12:00
"Ventilators",250,80,170,32,68,2020-08-12 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-12 17:49:32
"ICU Beds",278,195,83,70.1,29.9,2020-08-12 17:49:32
"Ventilators",250,80,170,32,68,2020-08-12 17:49:32
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-12 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-12 19:12:00
"Ventilators",250,80,170,32,68,2020-08-12 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-13 01:12:01
"ICU Beds",278,195,83,70.1,29.9,2020-08-13 01:12:01
"Ventilators",250,80,170,32,68,2020-08-13 01:12:01
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-13 07:12:01
"ICU Beds",278,195,83,70.1,29.9,2020-08-13 07:12:01
"Ventilators",250,80,170,32,68,2020-08-13 07:12:01
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-13 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-13 13:12:00
"Ventilators",250,80,170,32,68,2020-08-13 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-13 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-13 19:12:00
"Ventilators",250,80,170,32,68,2020-08-13 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-14 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-14 01:12:00
"Ventilators",250,80,170,32,68,2020-08-14 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-14 07:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-14 07:12:00
"Ventilators",250,80,170,32,68,2020-08-14 07:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-14 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-14 13:12:00
"Ventilators",250,80,170,32,68,2020-08-14 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-14 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-14 19:12:00
"Ventilators",250,80,170,32,68,2020-08-14 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 01:12:00
"Ventilators",250,80,170,32,68,2020-08-15 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 07:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 07:12:00
"Ventilators",250,80,170,32,68,2020-08-15 07:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 12:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 12:12:00
"Ventilators",250,80,170,32,68,2020-08-15 12:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 13:12:01
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 13:12:01
"Ventilators",250,80,170,32,68,2020-08-15 13:12:01
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 18:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 18:12:00
"Ventilators",250,80,170,32,68,2020-08-15 18:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-15 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-15 19:12:00
"Ventilators",250,80,170,32,68,2020-08-15 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-16 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-16 01:12:00
"Ventilators",250,80,170,32,68,2020-08-16 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-16 07:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-16 07:12:00
"Ventilators",250,80,170,32,68,2020-08-16 07:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-16 12:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-16 12:12:00
"Ventilators",250,80,170,32,68,2020-08-16 12:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-16 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-16 13:12:00
"Ventilators",250,80,170,32,68,2020-08-16 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-16 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-16 19:12:00
"Ventilators",250,80,170,32,68,2020-08-16 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 00:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 00:12:00
"Ventilators",250,80,170,32,68,2020-08-17 00:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 01:12:00
"Ventilators",250,80,170,32,68,2020-08-17 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 06:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 06:12:00
"Ventilators",250,80,170,32,68,2020-08-17 06:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 07:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 07:12:00
"Ventilators",250,80,170,32,68,2020-08-17 07:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 13:12:00
"Ventilators",250,80,170,32,68,2020-08-17 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-17 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-17 19:12:00
"Ventilators",250,80,170,32,68,2020-08-17 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-18 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-18 01:12:00
"Ventilators",250,80,170,32,68,2020-08-18 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-18 07:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-18 07:12:00
"Ventilators",250,80,170,32,68,2020-08-18 07:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-18 13:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-18 13:12:00
"Ventilators",250,80,170,32,68,2020-08-18 13:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-18 19:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-18 19:12:00
"Ventilators",250,80,170,32,68,2020-08-18 19:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-19 01:12:00
"ICU Beds",278,195,83,70.1,29.9,2020-08-19 01:12:00
"Ventilators",250,80,170,32,68,2020-08-19 01:12:00
"All Hospital Beds",3057,2084,973,68.2,31.8,2020-08-19 07:12:01
"ICU Beds",278,195,83,70.1,29.9,2020-08-19 07:12:01
"Ventilators",250,80,170,32,68,2020-08-19 07:12:01
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-16 12:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-16 12:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-16 12:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-16 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-16 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-16 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-16 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-16 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-16 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-17 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-17 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-17 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-17 07:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-17 07:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-17 07:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-17 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-17 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-17 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-17 18:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-17 18:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-17 18:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-17 19:12:01
"ICU Beds",278,232,46,83.5,16.5,2020-09-17 19:12:01
"Ventilators",243,109,134,44.9,55.1,2020-09-17 19:12:01
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 00:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 00:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-18 00:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-18 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 06:12:01
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 06:12:01
"Ventilators",243,109,134,44.9,55.1,2020-09-18 06:12:01
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 07:12:01
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 07:12:01
"Ventilators",243,109,134,44.9,55.1,2020-09-18 07:12:01
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 12:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 12:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-18 12:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-18 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-18 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-18 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-18 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-19 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-19 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-19 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-19 07:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-19 07:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-19 07:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-19 12:12:01
"ICU Beds",278,232,46,83.5,16.5,2020-09-19 12:12:01
"Ventilators",243,109,134,44.9,55.1,2020-09-19 12:12:01
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-19 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-19 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-19 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-19 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-19 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-19 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-20 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-20 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-20 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-20 07:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-20 07:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-20 07:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-20 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-20 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-20 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-20 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-20 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-20 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 07:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 07:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 07:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 12:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 12:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 12:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 18:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 18:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 18:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-21 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-21 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-21 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 00:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 00:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 00:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 06:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 06:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 06:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 07:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 07:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 07:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 13:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 13:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 13:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 18:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 18:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 18:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-22 19:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-22 19:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-22 19:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-23 01:12:00
"ICU Beds",278,232,46,83.5,16.5,2020-09-23 01:12:00
"Ventilators",243,109,134,44.9,55.1,2020-09-23 01:12:00
"All Hospital Beds",3062,2220,842,72.5,27.5,2020-09-23 07:12:01
"ICU Beds",278,232,46,83.5,16.5,2020-09-23 07:12:01
"Ventilators",243,109,134,44.9,55.1,2020-09-23 07:12:01
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-23 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-23 13:12:00
"Ventilators",245,103,142,42,58,2020-09-23 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-23 18:12:00
"ICU Beds",278,228,50,82,18,2020-09-23 18:12:00
"Ventilators",245,103,142,42,58,2020-09-23 18:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-23 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-23 19:12:00
"Ventilators",245,103,142,42,58,2020-09-23 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 01:12:01
"ICU Beds",278,228,50,82,18,2020-09-24 01:12:01
"Ventilators",245,103,142,42,58,2020-09-24 01:12:01
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 07:12:00
